link,tags,diff,submission
https://codeforces.com/problemset/problem/2009/E,"binary search, math, ternary search",1400.0, x12316
https://codeforces.com/problemset/problem/2009/D,"geometry, math",1400.0, x13412
https://codeforces.com/problemset/problem/2009/C,"implementation, math",1100.0, x24286
https://codeforces.com/problemset/problem/2009/B,"brute force, implementation",800.0, x39161
https://codeforces.com/problemset/problem/2009/A,"brute force, math",800.0, x47226
https://codeforces.com/problemset/problem/2008/H,"binary search, brute force, greedy, math, number theory",2100.0, x2678
https://codeforces.com/problemset/problem/2008/G,"binary search, greedy, math, number theory",1800.0, x4818
https://codeforces.com/problemset/problem/2008/F,"combinatorics, math, number theory",1400.0, x11898
https://codeforces.com/problemset/problem/2008/E,"brute force, data structures, dp, greedy, implementation, strings",1500.0, x9325
https://codeforces.com/problemset/problem/2008/D,"dp, dsu, graphs, math",1100.0, x18368
https://codeforces.com/problemset/problem/2008/C,"binary search, brute force, math",800.0, x28867
https://codeforces.com/problemset/problem/2008/B,"brute force, math, strings",800.0, x27397
https://codeforces.com/problemset/problem/2008/A,"brute force, constructive algorithms, greedy, math",800.0, x33358
https://codeforces.com/problemset/problem/2007/C,"math, number theory",1500.0, x11600
https://codeforces.com/problemset/problem/2007/B,"data structures, greedy",900.0, x20317
https://codeforces.com/problemset/problem/2007/A,"greedy, math, number theory",800.0, x21985
https://codeforces.com/problemset/problem/2006/F,"brute force, combinatorics, constructive algorithms, graphs, implementation",3500.0, x100
https://codeforces.com/problemset/problem/2006/E,"brute force, data structures, dfs and similar, trees",3100.0, x207
https://codeforces.com/problemset/problem/2006/D,"data structures, greedy, implementation, math",2600.0, x625
https://codeforces.com/problemset/problem/2006/C,"data structures, divide and conquer, math, number theory, two pointers",2300.0, x1545
https://codeforces.com/problemset/problem/2006/B,"brute force, data structures, dfs and similar, dsu, math, trees",1800.0, x3102
https://codeforces.com/problemset/problem/2006/A,"constructive algorithms, dfs and similar, games, graphs, greedy, trees",1700.0, x6392
https://codeforces.com/problemset/problem/2005/E2,"data structures, dp, games, greedy, implementation",2500.0, x720
https://codeforces.com/problemset/problem/2005/E1,"dp, games, greedy, implementation",2100.0, x2510
https://codeforces.com/problemset/problem/2005/D,"binary search, brute force, data structures, divide and conquer, implementation, number theory",2400.0, x787
https://codeforces.com/problemset/problem/2005/C,"dp, implementation, strings",1800.0, x6639
https://codeforces.com/problemset/problem/2005/B2,"binary search, greedy, math, sortings",1200.0, x16273
https://codeforces.com/problemset/problem/2005/B1,"greedy, math, sortings",1000.0, x18685
https://codeforces.com/problemset/problem/2005/A,"combinatorics, constructive algorithms, greedy, math",900.0, x20651
https://codeforces.com/problemset/problem/2004/G,"data structures, dp, matrices",3200.0, x286
https://codeforces.com/problemset/problem/2004/F,"binary search, brute force, data structures, greedy, math",2600.0, x1099
https://codeforces.com/problemset/problem/2004/E,"brute force, games, math, number theory",2100.0, x3915
https://codeforces.com/problemset/problem/2004/D,"binary search, brute force, data structures, graphs, greedy, implementation, shortest paths",1600.0, x10343
https://codeforces.com/problemset/problem/2004/C,"games, greedy, sortings",1100.0, x22690
https://codeforces.com/problemset/problem/2004/B,"brute force, greedy",1000.0, x25115
https://codeforces.com/problemset/problem/2004/A,"implementation, math",800.0, x29585
https://codeforces.com/problemset/problem/2003/F,"brute force, data structures, dp, greedy, math, probabilities, two pointers",2800.0, x386
https://codeforces.com/problemset/problem/2003/E2,"brute force, data structures, divide and conquer, dp, greedy, math, two pointers",2700.0, x498
https://codeforces.com/problemset/problem/2003/E1,"brute force, divide and conquer, dp, greedy, math",2600.0, x696
https://codeforces.com/problemset/problem/2003/D2,"dfs and similar, dp, graphs, greedy, implementation, math",2100.0, x3867
https://codeforces.com/problemset/problem/2003/D1,"greedy, math",1500.0, x10746
https://codeforces.com/problemset/problem/2003/C,"constructive algorithms, greedy, sortings, strings",1200.0, x17554
https://codeforces.com/problemset/problem/2003/B,"games, greedy, sortings",800.0, x24573
https://codeforces.com/problemset/problem/2003/A,"greedy, strings",800.0, x28191
https://codeforces.com/problemset/problem/2002/H,greedy,3500.0, x69
https://codeforces.com/problemset/problem/2002/G,"bitmasks, brute force, hashing, meet-in-the-middle",3400.0, x205
https://codeforces.com/problemset/problem/2002/F2,"brute force, dp, math, number theory",2800.0, x410
https://codeforces.com/problemset/problem/2002/F1,"brute force, dfs and similar, dp, math, number theory",2600.0, x797
https://codeforces.com/problemset/problem/2002/E,"brute force, data structures, dp",2300.0, x2356
https://codeforces.com/problemset/problem/2002/D2,"binary search, data structures, dfs and similar, graphs, hashing, trees",2300.0, x2300
https://codeforces.com/problemset/problem/2002/D1,"brute force, data structures, dfs and similar, graphs, hashing, trees",1900.0, x4232
https://codeforces.com/problemset/problem/2002/C,"brute force, geometry, greedy, math",1200.0, x14562
https://codeforces.com/problemset/problem/2002/B,"constructive algorithms, games",1000.0, x18091
https://codeforces.com/problemset/problem/2002/A,"constructive algorithms, implementation, math",800.0, x19029
https://codeforces.com/problemset/problem/2001/E2,"combinatorics, dp, trees",2900.0, x199
https://codeforces.com/problemset/problem/2001/E1,"combinatorics, dp, math, trees",2400.0, x1201
https://codeforces.com/problemset/problem/2001/D,"brute force, constructive algorithms, data structures, greedy, implementation",1900.0, x4855
